,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae
0,0.01586623191833496,0.002451631301866082,0.013435840606689453,0.0052691404218482805,0.1,{'regressor__alpha': 0.1},-0.01987334525997686,-0.7616491753102597,-0.5499391532836388,,,,,1,-1663.731776807925,-381.1004097940251,-1116.462548308495,,,,,1,-17.73865973152985,-15.818625817720806,-18.5307999793208,,,,,1
1,0.01700167655944824,0.006095317377555134,0.07188482284545898,0.1175243845453732,1.0,{'regressor__alpha': 1.0},-0.02266014280528017,-0.7159652751984942,-0.5636235953053179,,,,,1,-1668.2779134955833,-371.2175379387268,-1126.3198172079456,,,,,1,-17.731607454608664,-15.415735786258416,-18.314777661870043,,,,,1
2,0.015111494064331054,0.0011204884724572769,0.012160634994506836,0.005442369253366937,10.0,{'regressor__alpha': 10.0},-0.01701898258381207,-0.607686677159472,-0.5186609113328193,,,,,1,-1659.0754203015595,-347.7934540388628,-1093.9319956470958,,,,,1,-17.633166278849615,-14.580082789613868,-17.852969721696873,,,,,1
3,0.016523408889770507,0.00221565301517389,0.011526823043823242,0.0022719959508247685,100.0,{'regressor__alpha': 100.0},0.013114265505474787,-0.391277842402193,-0.2801928594318792,,,,,1,-1609.9186866565562,-300.9773814831444,-922.1570918701059,,,,,1,-16.90610719819026,-13.390914633604476,-16.508081446684972,,,,,1
